subject,correct_count,total,accuracy
Psychiatry,2,3,0.6666666666666666
Anaesthesia,5,11,0.45454545454545453
ENT,6,16,0.375
Physiology,16,43,0.37209302325581395
Ophthalmology,7,19,0.3684210526315789
Biochemistry,17,48,0.3541666666666667
Pediatrics,20,59,0.3389830508474576
Dental,98,307,0.31921824104234525
Anatomy,15,49,0.30612244897959184
Surgery,27,89,0.30337078651685395
Pharmacology,17,57,0.2982456140350877
Forensic Medicine,6,21,0.2857142857142857
Medicine,20,73,0.273972602739726
Social & Preventive Medicine,7,26,0.2692307692307692
Gynaecology & Obstetrics,14,53,0.2641509433962264
Radiology,4,18,0.2222222222222222
Pathology,15,68,0.22058823529411764
Microbiology,7,34,0.20588235294117646
Orthopaedics,0,3,0.0
Skin,0,3,0.0
